mz,id,ion,example,formula
850.63015,PC 39:2,[M+Na]+,GPCho(22:1(13Z)/17:1(9Z)),C47H90NO8P
850.63015,PE 42:2,[M+Na]+,"GPEtn(18:2(9E,12E)/24:0)",C47H90NO8P
850.63258,PC 41:5,[M+H]+,"GPCho(19:0/22:5(4Z,7Z,10Z,13Z,16Z))",C49H88NO8P
850.63258,PE 44:5,[M+H]+,"GPEtn(20:1(11Z)/24:4(5Z,8Z,11Z,14Z))",C49H88NO8P
850.64082,MGDG 40:5,[M+NH4]+,"MGDG(18:3(9Z,12Z,15Z)/22:2(13Z,16Z))",C49H84O10
850.66659,plasmenyl-PC 40:1,[M+Na]+,PC(P-20:0/20:1(11E)),C48H94NO7P
850.66895,plasmenyl-PC 42:4,[M+H]+,"PC(P-20:0/22:4(7Z,10Z,13Z,16Z))",C50H92NO7P
850.67721,MGDG 42:5,[M+NH4-CO]+,"MGDG(20:0/22:5(4Z,7Z,10Z,13Z,16Z))",C51H88O10
850.78589,TG 50:1,[M+NH4]+,TG(16:0/16:0/18:1),C53H100O6
850.82225,DG 51:1,[M+NH4]+,DG(25:0/26:1/0:0),C54H104O5
851.47687,DGDG 28:4,[M+Na]+,"DGDG(20:4(5E,8E,11E,14E)/8:0)",C43H72O15
851.5543,PA 44:5,[M+Na2-H]+,"GPA(18:3(9Z,12Z,15Z)/26:2(5Z,9Z))",C47H83O8P
851.55666,PA 46:8,[M+Na]+,"GPA(24:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",C49H81O8P
851.5649,MGDG 40:7,[M+Na]+,"MGDG(18:2(9Z,11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C49H80O10
851.6506,PA 45:1,[M+Na]+,GPA(21:0/24:1(15Z)),C48H93O8P
851.65884,MGDG 39:0,[M+Na]+,MGDG(26:0/13:0),C48H92O10
851.6982,SM 43:1,[M-H+Na]+,SM(d19:0/24:1(15Z)),C48H98N2O6P
851.71001,TG 50:3,[M+Na]+,TG(16:1/17:1/17:1),C53H96O6
851.76753,TG 51:2,[M+Li]+,TG(16:1/16:1/19:0),C54H100O6
851.80389,DG 52:2,[M+Li]+,DG(26:0/26:2/0:0),C55H104O5
