HMDB_ID,id,formula,mz,charge,ion
HMDB0054063,"TG(20:4(5Z,8Z,11Z,14Z)/20:0/20:5(5Z,8Z,11Z,14Z,17Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054066,"TG(20:4(5Z,8Z,11Z,14Z)/20:0/o-18:0)",C61H112O5,923.8437002,-1,[M-H]1-
HMDB0054072,"TG(20:4(5Z,8Z,11Z,14Z)/22:0/18:4(6Z,9Z,12Z,15Z))",C63H106O6,957.7916647,-1,[M-H]1-
HMDB0054077,"TG(20:4(5Z,8Z,11Z,14Z)/22:0/o-18:0)",C63H116O5,951.8750004,-1,[M-H]1-
HMDB0054091,"TG(20:4(5Z,8Z,11Z,14Z)/14:1(9Z)/22:4(7Z,10Z,13Z,16Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054099,"TG(20:4(5Z,8Z,11Z,14Z)/14:1(9Z)/o-18:0)",C55H98O5,837.7341498,-1,[M-H]1-
HMDB0054100,"TG(20:4(5Z,8Z,11Z,14Z)/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054106,"TG(20:4(5Z,8Z,11Z,14Z)/16:1(9Z)/20:4(8Z,11Z,14Z,17Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054109,"TG(20:4(5Z,8Z,11Z,14Z)/16:1(9Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0054110,"TG(20:4(5Z,8Z,11Z,14Z)/16:1(9Z)/o-18:0)",C57H102O5,865.7654499,-1,[M-H]1-
HMDB0054113,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(11Z)/22:4(7Z,10Z,13Z,16Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054114,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054116,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(11Z)/18:4(6Z,9Z,12Z,15Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054119,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054120,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054121,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(11Z)/o-18:0)",C59H106O5,893.79675,-1,[M-H]1-
HMDB0054124,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)/22:4(7Z,10Z,13Z,16Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054125,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054127,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))",C59H96O6,899.7134143,-1,[M-H]1-
HMDB0054132,"TG(20:4(5Z,8Z,11Z,14Z)/18:1(9Z)/o-18:0)",C59H106O5,893.79675,-1,[M-H]1-
HMDB0054133,"TG(20:4(5Z,8Z,11Z,14Z)/20:1(11Z)/20:4(5Z,8Z,11Z,14Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054139,"TG(20:4(5Z,8Z,11Z,14Z)/20:1(11Z)/20:4(8Z,11Z,14Z,17Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054140,"TG(20:4(5Z,8Z,11Z,14Z)/20:1(11Z)/20:5(5Z,8Z,11Z,14Z,17Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054142,"TG(20:4(5Z,8Z,11Z,14Z)/20:1(11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0054144,"TG(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z)/20:4(5Z,8Z,11Z,14Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054146,"TG(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z)/22:4(7Z,10Z,13Z,16Z))",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0054147,"TG(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0054149,"TG(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z)/18:4(6Z,9Z,12Z,15Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0054150,"TG(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z)/20:4(8Z,11Z,14Z,17Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054152,"TG(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0054153,"TG(20:4(5Z,8Z,11Z,14Z)/20:3(5Z,8Z,11Z)/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H100O6,975.7447145,-1,[M-H]1-
HMDB0054159,"TG(20:4(5Z,8Z,11Z,14Z)/22:1(13Z)/18:3(9Z,12Z,15Z))",C63H106O6,957.7916647,-1,[M-H]1-
HMDB0054160,"TG(20:4(5Z,8Z,11Z,14Z)/22:1(13Z)/18:4(6Z,9Z,12Z,15Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054165,"TG(20:4(5Z,8Z,11Z,14Z)/22:1(13Z)/o-18:0)",C63H114O5,949.8593503,-1,[M-H]1-
HMDB0054178,"TG(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)/22:2(13Z,16Z))",C63H106O6,957.7916647,-1,[M-H]1-
HMDB0054179,"TG(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054180,"TG(20:4(5Z,8Z,11Z,14Z)/18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054188,"TG(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z)/20:4(5Z,8Z,11Z,14Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0054189,"TG(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z)/22:2(13Z,16Z))",C63H104O6,955.7760146,-1,[M-H]1-
HMDB0054190,"TG(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z)/22:4(7Z,10Z,13Z,16Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054194,"TG(20:4(5Z,8Z,11Z,14Z)/18:3(6Z,9Z,12Z)/20:4(8Z,11Z,14Z,17Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0054199,"TG(20:4(5Z,8Z,11Z,14Z)/20:2n6/20:4(5Z,8Z,11Z,14Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054202,"TG(20:4(5Z,8Z,11Z,14Z)/20:2n6/22:5(4Z,7Z,10Z,13Z,16Z))",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0054205,"TG(20:4(5Z,8Z,11Z,14Z)/20:2n6/20:4(8Z,11Z,14Z,17Z))",C63H102O6,953.7603645,-1,[M-H]1-
HMDB0054206,"TG(20:4(5Z,8Z,11Z,14Z)/20:2n6/20:5(5Z,8Z,11Z,14Z,17Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054207,"TG(20:4(5Z,8Z,11Z,14Z)/20:2n6/22:5(7Z,10Z,13Z,16Z,19Z))",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0054208,"TG(20:4(5Z,8Z,11Z,14Z)/20:2n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0054210,"TG(20:4(5Z,8Z,11Z,14Z)/20:3n6/20:4(5Z,8Z,11Z,14Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054212,"TG(20:4(5Z,8Z,11Z,14Z)/20:3n6/22:4(7Z,10Z,13Z,16Z))",C65H104O6,979.7760146,-1,[M-H]1-
HMDB0054213,"TG(20:4(5Z,8Z,11Z,14Z)/20:3n6/22:5(4Z,7Z,10Z,13Z,16Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0054215,"TG(20:4(5Z,8Z,11Z,14Z)/20:3n6/18:4(6Z,9Z,12Z,15Z))",C61H96O6,923.7134143,-1,[M-H]1-
HMDB0054216,"TG(20:4(5Z,8Z,11Z,14Z)/20:3n6/20:4(8Z,11Z,14Z,17Z))",C63H100O6,951.7447145,-1,[M-H]1-
HMDB0054218,"TG(20:4(5Z,8Z,11Z,14Z)/20:3n6/22:5(7Z,10Z,13Z,16Z,19Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0054219,"TG(20:4(5Z,8Z,11Z,14Z)/20:3n6/22:6(4Z,7Z,10Z,13Z,16Z,19Z))",C65H100O6,975.7447145,-1,[M-H]1-
HMDB0054223,"TG(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/22:4(7Z,10Z,13Z,16Z))",C65H102O6,977.7603645,-1,[M-H]1-
HMDB0054224,"TG(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/22:5(4Z,7Z,10Z,13Z,16Z))",C65H100O6,975.7447145,-1,[M-H]1-
HMDB0054229,"TG(20:4(5Z,8Z,11Z,14Z)/20:4(5Z,8Z,11Z,14Z)/22:5(7Z,10Z,13Z,16Z,19Z))",C65H100O6,975.7447145,-1,[M-H]1-
